date,device,power_usage,temperature
2024-10-22,Panasonic F-M12D3,0.0039,30.91
2024-02-13,LG 24MP60G,0.0014,29.34
2025-01-25,Samsung WA65A4002,0.0052,32.65
2025-12-28,LG 24MP60G,0.0017,28.19
2024-05-29,CRI MHBS,0.0135,29.89
2024-05-05,Samsung WA65A4002,0.0139,37.99
2025-11-28,Bajaj MX3,0.0513,21.24
2024-11-14,Syska SSK-BLS-9W,0.0003,30.22
2025-02-06,Panasonic NN-ST34,0.0242,27.14
2024-07-23,Philips GC1905,0.0506,29.9
2024-03-02,Samsung RT28T,0.0092,31.52
2025-04-27,Philips Ace Saver,0.0006,33.24
2024-05-06,Usha Striker Galaxy,0.0056,28.72
2024-07-07,Lenovo IdeaPad 3,0.0021,26.8
2024-06-19,Panasonic F-M12D3,0.0015,34.3
2025-12-27,Panasonic NN-ST34,0.015,30.98
2024-09-28,Samsung EP-TA800,0.0004,24.13
2024-09-16,LG 43LM5650,0.0014,31.64
2025-07-10,Orient Aeroquiet,0.0054,33.73
2025-07-18,HP Pavilion 14,0.001,30.6
2024-11-25,Panasonic SR-WA18,0.013,30.38
2024-01-14,Panasonic NN-ST34,0.0362,33.33
2025-02-11,HP EliteDesk 800,0.0033,33.3
2025-01-30,Dell OptiPlex 7090,0.0084,28.69
2024-12-27,LG KS-Q18,0.0342,28.84
2024-02-15,Samsung UA43T5400,0.0044,25.15
2025-11-24,Netgear R6120,0.0002,30.64
2025-09-08,Bajaj Majesty RX14,0.0586,30.72
2025-08-25,Samsung EP-TA800,0.0004,27.94
2025-08-08,Panasonic SR-WA18,0.0084,32.23
2024-01-08,Dell Inspiron 3520,0.0009,31.83
2025-03-02,Samsung WA65A4002,0.023,27.92
2025-01-28,Samsung WA65A4002,0.0035,30.02
2024-12-23,Philips Ace Saver,0.0002,30.35
2025-03-04,Daikin FTKF 1.5T,0.0309,33.23
2025-12-26,Philips HD3119,0.0319,31.53
2024-09-19,LG FHM1207,0.0122,31.03
2024-04-06,Samsung MS23F301,0.0542,28.05
2025-12-01,Daikin FTKF 1.5T,0.0138,31.91
2024-02-20,Sony Bravia X75,0.0021,24.35
2024-09-05,Kirloskar Mega 54S,0.0168,32.54
2024-04-14,Samsung MS23F301,0.0328,30.78
2025-04-14,Panasonic F-M12D3,0.0009,34.45
2025-01-28,Philips Ace Saver,0.0003,29.37
2024-06-03,Samsung RT28T,0.0061,26.56
2024-05-14,Usha Striker Galaxy,0.0011,34.8
2024-06-05,Orient Winter HC,0.0298,25.54
2024-10-31,Samsung RT28T,0.0021,28.37
2024-10-02,Daikin FTKF 1.5T,0.0394,24.53
2025-06-30,HP EliteDesk 800,0.0066,31.49
2024-08-18,Sony Bravia X75,0.0072,30.84
2024-10-28,Orient Winter HC,0.0448,29.85
2024-06-24,Philips HD9306,0.0498,29.19
2025-01-11,TP-Link Archer C6,0.0006,29.55
2024-03-22,LG 43LM5650,0.0065,30.58
2025-06-08,HP Pavilion 14,0.0028,28.41
2024-10-27,Usha Striker Galaxy,0.0042,31.55
2024-08-24,Philips HD3119,0.0183,30.64
2024-11-13,LG 24MP60G,0.0012,30.64
2024-09-18,Sony Bravia X75,0.0051,27.71
2025-04-17,TP-Link Archer C6,0.0004,26.28
2025-01-20,Dell OptiPlex 7090,0.0103,26.13
2024-09-08,LG FHM1207,0.0077,38.28
2025-08-22,ASUS VivoBook 15,0.0007,30.05
2025-07-19,Philips HD3119,0.0282,29.09
2024-10-10,Samsung EP-TA800,0.0007,32.27
2025-06-30,Orient Apex,0.0043,33.71
2025-01-20,Samsung WA65A4002,0.0144,30.42
2025-04-20,Prestige PKOSS 1.5,0.0778,29.56
2025-11-03,HP EliteDesk 800,0.0062,31.1
2025-06-23,Philips Ace Saver,0.0006,34.93
2025-02-04,Orient Winter HC,0.0403,26.6
2024-12-18,Bajaj MX3,0.0728,29.21
2024-08-07,Samsung MS23F301,0.0403,30.58
2024-08-22,Syska SSK-BLS-9W,0.0002,32.03
2024-03-30,Panasonic SR-WA18,0.025,34.98
2025-04-16,Orient Aeroquiet,0.0011,28.05
2024-04-20,Panasonic NN-ST34,0.0219,33.42
2025-06-18,Sony Bravia X75,0.0009,31.86
2024-03-27,Sony Bravia X75,0.0037,30.02
2024-12-06,Bosch WAK24168,0.0177,26.3
2024-07-30,Panasonic NN-ST34,0.0143,31.39
2024-10-15,Dell Inspiron 3520,0.0015,31.72
2024-12-18,Bajaj Majesty RX14,0.0619,31.42
2025-01-10,Samsung UA43T5400,0.0045,26.19
2024-12-22,LG 24MP60G,0.0008,29.26
2024-03-02,Panasonic F-M12D3,0.0021,30.45
2024-08-04,Dell P2422H,0.0004,32.19
2025-03-26,LG FHM1207,0.0238,35.95
2024-09-17,Syska SSK-BLS-9W,0.0003,34.53
2024-08-19,LG FHM1207,0.0219,32.13
2025-12-15,Dell Inspiron 3520,0.001,30.96
2024-08-30,Orient Winter HC,0.0181,26.93
2025-07-07,Samsung WA65A4002,0.0118,31.39
2024-11-04,Philips HD3119,0.0243,24.84
2025-07-04,Philips HD3119,0.025,25.49
2024-12-26,Bajaj MX3,0.0552,32.99
2025-02-13,LG KS-Q18,0.0636,26.7
2025-01-10,Samsung WA65A4002,0.015,29.78
2025-10-21,Orient Aeroquiet,0.0011,31.73
2025-09-12,Philips HD3119,0.0294,34.16
2025-08-21,Kirloskar Mega 54S,0.0222,31.85
2024-04-06,Netgear R6120,0.0002,26.69
2024-11-30,Syska SSK-BLS-9W,0.0003,33.71
2024-09-08,Prestige PKOSS 1.5,0.027,28.52
2025-02-01,Usha Striker Galaxy,0.0028,27.23
2025-03-14,Bajaj Majesty RX14,0.0871,29.62
2024-12-13,CRI MHBS,0.0101,34.02
2025-12-27,CRI MHBS,0.0308,32.78
2024-04-07,LG GL-T302,0.0065,26.02
2025-05-31,Panasonic NN-ST34,0.0512,31.49
2024-01-26,Prestige PKOSS 1.5,0.0393,28.89
2025-04-28,Samsung WA65A4002,0.0057,33.87
2025-01-20,Philips Ace Saver,0.0002,27.5
2024-02-03,Orient Winter HC,0.0836,30.62
2024-03-21,Bajaj MX3,0.0581,37.09
2025-11-19,CRI MHBS,0.0288,26.95
2024-05-04,Panasonic NN-ST34,0.0124,29.86
2025-02-28,Kirloskar Mega 54S,0.0112,26.95
2024-10-04,Samsung WA65A4002,0.008,32.9
2025-08-10,Philips HD9306,0.0853,28.6
2025-05-25,Bajaj MX3,0.0276,27.45
2025-05-13,Whirlpool IF INV 278,0.0085,34.77
2024-06-04,Orient Aeroquiet,0.0012,32.76
2024-08-26,TP-Link Archer C6,0.0003,29.14
2024-09-03,LG FHM1207,0.0161,36.27
2025-01-27,Bosch WAK24168,0.009,29.28
2024-03-26,Panasonic NN-ST34,0.0195,31.95
2025-11-20,Orient Aeroquiet,0.0011,32.88
2025-09-19,Usha Striker Galaxy,0.0022,33.67
2024-09-30,Lenovo ThinkCentre M70,0.0056,27.91
2025-11-03,LG GL-T302,0.0051,30.63
2025-07-31,Daikin FTKF 1.5T,0.0289,25.59
2024-04-30,TP-Link Archer C6,0.0004,29.98
2025-10-23,Samsung EP-TA800,0.0005,31.87
2024-08-27,Orient Aeroquiet,0.0039,31.39
2024-03-07,Samsung MS23F301,0.0235,26.35
2025-09-25,Philips Ace Saver,0.0003,32.71
2024-08-12,Syska SSK-BLS-9W,0.0003,26.7
2025-07-30,Bajaj MX3,0.0539,25.9
2025-05-17,Bosch WAK24168,0.0194,29.8
2024-09-27,LG GL-T302,0.0129,29.09
2024-05-06,Orient Apex,0.0012,30.38
2025-10-15,Philips HD9306,0.0411,29.6
2025-02-11,LG KS-Q18,0.0636,36.06
2025-12-28,Philips GC1905,0.0579,34.6
2025-06-21,Bajaj Majesty RX14,0.0269,31.65
2024-11-13,Syska SSK-BLS-9W,0.0003,30.01
2025-12-13,Syska SSK-BLS-9W,0.0002,35.46
2024-04-28,ASUS VivoBook 15,0.0026,31.39
2025-08-26,Samsung MS23F301,0.0147,32.3
2025-11-29,Panasonic SR-WA18,0.0151,31.87
2025-12-27,Usha Mist Air IC,0.0007,29.64
2024-06-22,Bajaj MX3,0.0212,25.35
2025-06-25,Havells Leganza,0.0009,33.16
2025-02-10,Dell OptiPlex 7090,0.008,28.33
2025-05-01,Philips HD3119,0.0168,30.85
2025-12-02,Samsung EP-TA800,0.0001,27.5
2025-04-16,Philips Ace Saver,0.0004,32.05
2024-12-10,Philips HD3119,0.0234,25.78
2024-10-07,LG 43LM5650,0.0028,24.11
2025-06-01,Bajaj Majesty RX14,0.0431,29.52
2025-12-12,Syska SSK-BLS-9W,0.0001,27.85
2025-03-02,Samsung WA65A4002,0.0156,28.46
2024-01-08,Philips HD3119,0.0174,27.97
2024-10-28,Philips Ace Saver,0.0001,31.38
2024-04-09,Xiaomi MDY-11,0.0002,32.67
2025-03-22,CRI MHBS,0.0123,31.15
2025-09-03,Kirloskar Mega 54S,0.0144,30.01
2024-05-26,Samsung LF24T350,0.0008,30.99
2024-07-15,Usha Striker Galaxy,0.0024,28.66
2025-08-16,Netgear R6120,0.0005,32.24
2024-11-01,Philips Ace Saver,0.0006,33.44
2025-09-05,Prestige PKOSS 1.5,0.0369,29.31
2025-09-04,Daikin FTKF 1.5T,0.0736,30.9
2024-04-22,Samsung WA65A4002,0.0303,34.56
2025-12-08,Samsung MS23F301,0.0658,25.34
2024-08-15,Dell OptiPlex 7090,0.0035,26.83
2024-09-23,LG KS-Q18,0.0234,25.13
2024-07-25,Sony Bravia X75,0.0059,30.6
2025-10-01,TP-Link Archer C6,0.0006,27.26
2025-12-02,LG 43LM5650,0.0023,29.36
2024-04-06,Netgear R6120,0.0002,29.56
2024-08-04,Xiaomi MDY-11,0.0004,28.59
2025-01-12,Orient Aeroquiet,0.0017,27.45
2024-06-18,Dell OptiPlex 7090,0.0159,28.83
2024-02-28,Samsung UA43T5400,0.0047,29.06
2024-05-25,Bajaj MX3,0.0402,30.47
2024-10-20,Orient Aeroquiet,0.0018,34.14
2025-01-08,Samsung RT28T,0.0017,28.81
2025-04-21,Syska SSK-BLS-9W,0.0002,25.27
2025-11-11,Bajaj MX3,0.065,35.11
2025-10-08,Orient Aeroquiet,0.0028,33.76
2024-11-29,Orient Winter HC,0.024,30.43
2024-10-18,Samsung RT28T,0.0069,26.46
2024-08-28,Xiaomi MDY-11,0.0007,31.08
2025-07-01,Usha Striker Galaxy,0.0039,28.98
2025-09-08,Samsung RT28T,0.0061,28.16
2024-01-31,Lenovo ThinkCentre M70,0.0024,28.44
2024-02-06,Daikin FTKF 1.5T,0.068,29.78
2024-06-28,Prestige PKOSS 1.5,0.0354,28.19
2024-04-15,Philips HD3119,0.0144,27.67
2025-09-28,Bajaj Majesty RX14,0.0361,30.94
2024-02-24,Samsung LF24T350,0.0006,27.42
2024-06-04,Samsung EP-TA800,0.0006,28.5
2024-02-09,Bajaj Majesty RX14,0.088,26.57
2024-07-31,Samsung WA65A4002,0.0141,32.14
2024-07-30,Usha Striker Galaxy,0.001,31.63
2024-11-22,Bajaj Majesty RX14,0.0356,32.49
2025-01-02,Dell Inspiron 3520,0.0024,35.07
2024-09-21,Usha Mist Air IC,0.0014,32.27
2025-10-12,Syska SSK-BLS-9W,0.0004,23.66
2024-08-01,TP-Link Archer C6,0.0005,30.57
2025-10-21,Syska SSK-BLS-9W,0.0001,30.0
2025-05-24,Philips GC1905,0.0708,24.43
2024-05-24,Xiaomi MDY-11,0.0002,26.59
2024-04-25,Sony Bravia X75,0.0042,28.87
2024-03-16,Prestige PKOSS 1.5,0.0291,30.83
2024-12-28,LG FHM1207,0.0178,31.66
2025-05-16,Orient Aeroquiet,0.0033,28.14
2025-10-28,Dell P2422H,0.0015,26.77
2025-05-14,Prestige PKOSS 1.5,0.0791,32.11
2024-04-07,Bajaj MX3,0.0278,26.96
2024-11-20,Philips Ace Saver,0.0002,30.26
2025-06-05,Bosch WAK24168,0.0144,28.23
2025-09-09,Philips HD9306,0.0301,34.1
2024-03-27,Sony Bravia X75,0.0059,33.69
2025-07-20,Samsung RT28T,0.004,31.01
2025-02-14,Havells Leganza,0.0027,25.93
2025-07-04,Philips GC1905,0.0372,28.37
2024-01-11,Kirloskar Mega 54S,0.0264,33.57
2025-12-11,Panasonic NN-ST34,0.0162,32.41
2025-11-12,Samsung MS23F301,0.0291,28.79
2024-04-22,Panasonic NN-ST34,0.0551,28.52
2024-04-23,Whirlpool IF INV 278,0.0064,27.5
2024-03-18,Orient Winter HC,0.0596,33.63
2024-05-31,Whirlpool IF INV 278,0.0041,29.71
2025-12-31,Samsung LF24T350,0.0013,30.4
2025-06-12,Samsung WA65A4002,0.0141,28.32
2025-03-02,Dell Inspiron 3520,0.0023,27.8
2025-06-22,Dell OptiPlex 7090,0.0074,30.4
2024-02-01,Bajaj MX3,0.0368,30.39
2025-09-22,LG GL-T302,0.0047,22.19
2024-03-07,Philips GC1905,0.0212,25.21
2025-01-08,Panasonic F-M12D3,0.0016,26.06
2025-07-15,Kirloskar Mega 54S,0.0146,29.82
2025-08-02,Samsung LF24T350,0.0004,30.85
2025-12-31,TP-Link Archer C6,0.0004,34.89
2024-05-13,Bosch WAK24168,0.0158,28.44
2025-04-13,Dell OptiPlex 7090,0.0064,27.56
2024-06-17,Kirloskar Mega 54S,0.0142,32.48
2024-06-20,Panasonic NN-ST34,0.0626,29.9
2025-06-26,Sony Bravia X75,0.0024,33.58
2025-05-04,LG KS-Q18,0.0739,31.18
2025-02-14,Syska SSK-BLS-9W,0.0003,26.8
2025-10-24,Kirloskar Mega 54S,0.0393,25.31
2024-03-05,Syska SSK-BLS-9W,0.0006,32.26
2024-06-23,Samsung MS23F301,0.0269,27.84
2025-05-21,Orient Winter HC,0.0612,24.92
2024-12-07,TP-Link Archer C6,0.0004,29.15
2024-03-24,Xiaomi MDY-11,0.0002,32.29
2025-09-19,LG 43LM5650,0.0079,30.8
2024-10-30,Samsung LF24T350,0.0016,28.64
2025-12-07,Samsung EP-TA800,0.0004,27.52
2025-05-29,Philips GC1905,0.0895,28.15
2024-02-16,Samsung EP-TA800,0.0007,31.02
2024-02-22,LG GL-T302,0.0046,35.42
2025-11-08,ASUS VivoBook 15,0.0028,30.79
2025-01-26,Philips HD9306,0.0276,34.22
2024-08-24,Syska SSK-BLS-9W,0.0006,27.49
2025-04-17,Lenovo ThinkCentre M70,0.0068,30.66
2025-04-15,Orient Winter HC,0.0576,29.68
2024-08-29,Kirloskar Mega 54S,0.0329,35.48
2025-09-06,Prestige PKOSS 1.5,0.0256,29.52
2024-02-09,Orient Aeroquiet,0.0017,29.13
2025-04-30,Philips HD3119,0.0099,30.99
2024-03-19,Dell OptiPlex 7090,0.0073,33.28
2025-08-20,LG KS-Q18,0.0665,29.97
2024-10-13,Kirloskar Mega 54S,0.0463,28.45
2024-07-07,Kirloskar Mega 54S,0.0357,31.41
2025-12-27,Samsung WA65A4002,0.019,26.82
2024-05-26,Whirlpool IF INV 278,0.0016,28.76
2024-03-24,Samsung RT28T,0.0031,25.61
2025-08-15,Usha Mist Air IC,0.0024,32.43
2024-07-07,Syska SSK-BLS-9W,0.0001,31.24
2024-12-20,Lenovo IdeaPad 3,0.0028,30.55
2024-12-15,HP EliteDesk 800,0.0044,26.68
2024-05-29,Samsung EP-TA800,0.0003,27.87
2025-04-12,Bajaj MX3,0.0535,29.56
2025-02-10,LG KS-Q18,0.0241,31.77
2024-07-28,Orient Winter HC,0.0303,29.36
2025-10-17,Philips Ace Saver,0.0002,30.47
2024-12-11,Samsung MS23F301,0.0287,34.53
2024-08-07,Samsung LF24T350,0.0017,27.33
2024-11-09,ASUS VivoBook 15,0.0016,33.2
2024-03-02,Prestige PKOSS 1.5,0.0395,31.14
2024-02-23,Havells Leganza,0.0015,31.46
2024-08-09,Bajaj MX3,0.0457,31.64
2024-07-19,Xiaomi MDY-11,0.0003,26.44
2025-11-10,Dell P2422H,0.0005,31.16
2024-08-01,LG 24MP60G,0.001,34.52
2024-01-26,LG KS-Q18,0.0366,26.16
2025-02-05,Prestige PKOSS 1.5,0.06,32.64
2025-03-21,Kirloskar Mega 54S,0.0149,24.33
2024-07-14,LG KS-Q18,0.0671,31.14
2025-08-17,LG KS-Q18,0.0329,28.36
2024-01-21,Netgear R6120,0.0003,29.42
2024-12-31,Kirloskar Mega 54S,0.0411,31.08
2024-10-30,LG 43LM5650,0.0018,29.62
2024-07-10,Samsung MS23F301,0.0374,28.26
2024-10-17,LG 43LM5650,0.0013,26.63
2024-03-31,Havells Stealth Air,0.0035,25.75
2025-06-20,LG FHM1207,0.0187,36.61
2025-02-17,Samsung MS23F301,0.0422,30.54
2025-10-28,Philips Ace Saver,0.0002,32.52
2025-01-18,Philips GC1905,0.0343,33.16
2025-08-08,Samsung UA43T5400,0.0027,29.69
2024-01-08,Prestige PKOSS 1.5,0.0602,29.33
2025-06-26,LG KS-Q18,0.0311,31.25
2024-02-09,HP EliteDesk 800,0.005,30.22
2025-10-20,Panasonic NN-ST34,0.0174,29.44
2024-08-01,Philips Ace Saver,0.0002,28.88
2025-09-18,Panasonic NN-ST34,0.0481,28.09
2024-04-03,Daikin FTKF 1.5T,0.0231,30.01
2024-02-10,Philips HD9306,0.0742,31.45
2025-06-28,Whirlpool IF INV 278,0.0035,30.73
2025-01-24,LG 24MP60G,0.0008,33.79
2024-09-27,Bajaj Majesty RX14,0.0519,29.26
2024-02-24,HP EliteDesk 800,0.0126,29.82
