ina3221.battery.voltage,ina3221.battery.current_ma,ina3221.esp.voltage,ina3221.esp.current_ma,ina3221.main.voltage,ina3221.main.current_ma,si7021.temperature,si7021.humidity,system.rssi,system.free_heap,system.reconnects,system.cpu_temp
8.112,-230.8,5.552,32.4,12.488,184.0,32.01164,65.2738,-84,194056,1,43.6
8.112,-230.4,5.544,38.4,12.488,186.4,32.01164,65.21277,-81,194056,1,43.6
8.112,-229.6,5.552,31.6,12.488,182.8,32.01164,65.22803,-80,194056,1,43.6
8.112,-230.8,5.552,29.6,12.488,182.4,32.03309,65.36536,-81,194056,1,43.6
8.112,-230.0,5.52,55.6,12.48,195.2,32.04382,65.28143,-80,192484,1,43.6
8.112,-230.4,5.552,29.6,12.488,182.4,32.04382,65.37299,-84,194056,1,43.6
8.112,-231.2,5.552,30.4,12.488,183.6,32.05454,65.21277,-84,194056,1,43.6
8.112,-230.4,5.544,32.0,12.488,183.6,32.05454,65.19751,-79,194056,1,43.6
8.112,-230.0,5.552,30.0,12.496,182.8,32.06527,65.15936,-74,194064,1,43.6
8.112,-230.0,5.552,31.2,12.488,183.2,32.07599,65.16699,-81,194056,1,43.6
8.112,-228.8,5.552,29.2,12.496,182.0,32.07599,65.15173,-73,194056,1,43.6
8.112,-229.2,5.552,30.4,12.496,182.8,32.07599,65.09833,-73,194056,1,43.6
8.112,-229.2,5.552,29.2,12.488,183.6,32.07599,65.0907,-73,194056,1,43.6
8.112,-228.8,5.552,30.4,12.496,182.4,32.07599,65.03729,-74,194056,1,43.6
8.112,-230.0,5.552,32.0,12.496,182.8,32.08672,65.02203,-74,194056,1,43.6
8.112,-229.6,5.552,29.6,12.496,182.0,32.09744,64.93048,-77,194056,1,43.6
8.112,-229.2,5.552,31.2,12.496,182.8,32.08672,64.93048,-75,194056,1,43.6
8.112,-230.0,5.552,29.2,12.496,182.0,32.09744,64.97626,-76,194064,1,43.6
8.112,-229.2,5.552,30.8,12.496,182.8,32.08672,64.90759,-77,194056,1,43.6
8.112,-230.0,5.552,29.2,12.496,182.0,32.09744,64.86945,-78,194056,1,43.6
8.112,-229.6,5.552,30.4,12.496,182.4,32.09744,64.85419,-83,194064,1,43.6
8.112,-229.2,5.552,30.4,12.496,183.2,32.10817,64.90759,-77,194064,1,43.6
8.112,-230.0,5.552,30.0,12.496,182.0,32.10817,64.86182,-76,194064,1,43.6
8.112,-229.2,5.52,54.4,12.488,194.4,32.11889,65.06781,-77,191532,1,43.6
8.112,-230.0,5.552,29.6,12.496,182.4,32.12962,65.12122,-80,194064,1,43.6
8.112,-230.0,5.552,30.0,12.496,182.0,32.14034,64.85419,-80,194064,1,43.6
8.112,-228.8,5.552,33.2,12.496,183.6,32.15107,64.83893,-78,194064,1,43.6
8.112,-230.0,5.552,30.0,12.496,182.4,32.14034,64.86945,-81,194064,1,43.6
8.112,-230.0,5.552,32.4,12.496,182.8,32.16179,64.76263,-87,194064,1,43.6
8.112,-229.2,5.552,29.6,12.496,182.0,32.16179,64.70923,-75,194064,1,43.6
8.112,-229.2,5.552,31.2,12.496,183.2,32.16179,64.67871,-74,194064,1,43.6
8.12,-230.0,5.552,29.6,12.496,182.8,32.17252,64.62531,-81,194064,1,43.6
8.112,-229.2,5.552,31.2,12.496,182.4,32.17252,64.63293,-77,194064,1,43.6
8.12,-229.2,5.552,33.2,12.496,183.6,32.18324,64.60242,-78,194064,1,43.6
8.112,-229.6,5.552,30.8,12.496,182.4,32.18324,64.61005,-78,194064,1,43.6
8.12,-230.0,5.552,32.4,12.496,183.6,32.18324,64.51086,-77,194064,1,43.6
8.12,-230.0,5.56,29.6,12.496,182.8,32.18324,64.51849,-78,194064,1,43.6
8.12,-230.0,5.552,30.8,12.496,183.6,32.2047,64.50323,-79,194064,1,43.6
8.12,-230.4,5.56,30.0,12.496,183.2,32.2047,64.49561,-80,194064,1,43.6
8.12,-230.4,5.552,30.8,12.496,182.8,32.2047,64.48798,-79,194064,1,43.6
8.12,-230.0,5.552,29.6,12.496,183.2,32.2047,64.53375,-78,194064,1,43.6
8.12,-231.2,5.552,30.0,12.496,183.2,32.21542,64.46509,-78,194064,1,43.6
8.12,-229.6,5.544,38.4,12.496,185.2,32.22615,64.44983,-79,194064,1,43.6
8.12,-230.0,5.552,29.2,12.496,182.4,32.22615,64.38879,-81,194064,1,43.6
8.12,-231.2,5.552,31.2,12.496,183.2,32.23687,64.41931,-80,194064,1,43.6
8.12,-230.4,5.552,28.8,12.496,182.4,32.2476,64.41168,-78,194064,1,43.6
8.12,-230.4,5.552,30.8,12.496,183.2,32.25832,64.43457,-78,194064,1,43.6
8.12,-230.0,5.552,28.8,12.496,184.0,32.26905,64.35828,-78,194064,1,43.6
8.12,-230.4,5.552,31.2,12.496,183.2,32.26905,64.35828,-77,194064,1,43.6
8.12,-231.2,5.552,31.6,12.496,184.0,32.27977,64.34302,-81,194064,1,43.6
8.12,-231.2,5.552,29.6,12.496,184.0,32.27977,64.27435,-77,194064,1,43.6
8.112,-223.6,5.512,58.0,12.488,192.0,32.2905,64.22095,-80,192484,1,43.6
8.12,-230.4,5.552,30.0,12.496,183.2,32.27977,64.1828,-78,194056,1,43.6
8.12,-232.0,5.552,31.6,12.496,183.6,32.27977,64.22095,-77,194056,1,43.6
8.12,-230.8,5.552,32.8,12.496,184.4,32.2905,64.35065,-77,194056,1,43.6
8.12,-228.0,5.544,35.6,12.496,184.4,32.32267,64.39642,-79,194064,1,43.6
8.12,-225.6,5.528,48.4,12.496,187.6,32.31195,64.38116,-77,194056,1,43.6
8.12,-231.2,5.552,29.6,12.496,183.2,32.3334,64.30487,-79,194056,1,43.6
8.12,-229.6,5.552,31.2,12.496,183.2,32.3334,64.25146,-77,194056,1,43.6
8.12,-230.4,5.552,29.2,12.496,182.8,32.3334,64.20569,-76,194056,1,43.6
8.12,-230.0,5.552,30.4,12.496,182.4,32.3334,64.19043,-81,194056,1,43.6
8.12,-230.8,5.552,30.4,12.496,184.8,32.3334,64.10651,-78,194056,1,43.6
8.12,-229.6,5.552,30.0,12.496,183.2,32.34412,64.04547,-78,194056,1,43.6
8.128,-230.0,5.552,32.0,12.496,184.0,32.35485,63.99207,-76,194056,1,43.6
8.128,-230.8,5.552,29.6,12.496,182.8,32.34412,63.97681,-78,194056,1,43.6
8.128,-230.4,5.552,31.6,12.496,183.6,32.36557,63.94629,-76,194056,1,43.6
8.128,-230.4,5.56,29.6,12.496,182.4,32.35485,64.00732,-78,194056,1,43.6
8.128,-229.6,5.552,30.4,12.496,184.0,32.35485,64.00732,-80,194056,1,43.6
8.128,-230.0,5.552,29.2,12.496,182.8,32.36557,64.17517,-77,194056,1,43.6
8.128,-230.8,5.552,30.0,12.496,183.6,32.36557,64.19806,-76,194056,1,43.6
8.128,-230.4,5.552,31.2,12.496,184.0,32.38702,64.0531,-81,194056,1,43.6
8.128,-230.0,5.552,30.0,12.496,183.6,32.39775,64.06836,-76,194056,1,43.6
8.128,-230.8,5.552,30.4,12.496,184.0,32.39775,64.09125,-79,194056,1,43.6
8.128,-230.4,5.552,30.0,12.496,183.2,32.38702,64.12939,-79,192484,1,43.6
8.128,-229.6,5.552,30.4,12.496,183.2,32.40847,64.22858,-80,194056,1,43.6
8.128,-231.6,5.552,29.2,12.496,182.8,32.42992,64.41931,-81,194056,1,43.6
8.128,-230.8,5.552,30.0,12.496,184.4,32.42992,64.46509,-81,194056,1,43.6
8.128,-229.6,5.552,32.8,12.496,184.4,32.42992,64.32013,-80,194056,1,43.6
8.128,-230.8,5.552,29.6,12.496,183.2,32.44065,64.0531,-80,194056,1,43.6
8.128,-230.8,5.552,31.6,12.496,184.4,32.45137,64.16754,-79,194056,1,43.6
8.128,-231.2,5.552,29.6,12.496,183.6,32.45137,64.06836,-81,194056,1,43.6
8.128,-231.6,5.552,30.8,12.496,183.2,32.44065,63.80896,-83,194056,1,43.6
8.128,-230.8,5.552,29.2,12.496,182.8,32.45137,63.73267,-81,194056,1,43.6
8.128,-231.2,5.552,30.4,12.496,184.4,32.45137,63.70215,-78,194056,1,44.6
8.128,-230.8,5.552,31.6,12.496,184.8,32.45137,63.70215,-81,194056,1,43.6
8.128,-231.6,5.552,29.6,12.496,184.0,32.47282,64.03784,-78,194056,1,43.6
8.128,-230.8,5.552,30.0,12.496,184.0,32.47282,63.7937,-79,194064,1,43.6
8.128,-230.4,5.552,30.4,12.504,184.0,32.4621,63.72504,-78,194056,1,43.6
8.128,-232.0,5.552,30.0,12.496,183.6,32.47282,63.67926,-80,194056,1,43.6
8.136,-231.6,5.552,29.2,12.504,184.0,32.48355,63.71741,-80,194056,1,43.6
8.136,-232.0,5.552,29.6,12.504,184.0,32.49427,63.70978,-81,194056,1,43.6
8.136,-231.6,5.552,29.2,12.504,184.0,32.505,63.80896,-82,194056,1,43.6
8.12,-220.0,5.52,55.2,12.496,187.6,32.505,63.70978,-76,194052,1,44.6
8.128,-231.2,5.552,33.6,12.496,186.0,32.505,63.7403,-78,194056,1,43.6
8.136,-230.4,5.552,29.6,12.504,183.6,32.52645,63.84711,-76,194056,1,43.6
8.128,-221.6,5.52,55.2,12.496,188.0,32.52645,63.75555,-80,192484,1,43.6
8.136,-231.2,5.552,29.6,12.504,184.8,32.51572,63.74792,-77,194056,1,43.6
8.136,-230.8,5.552,30.8,12.504,184.0,32.53717,63.96918,-77,194056,1,43.6
8.136,-231.2,5.552,29.2,12.504,184.0,32.5479,63.93866,-79,194056,1,43.6
8.136,-232.4,5.552,30.4,12.496,184.0,32.55862,63.83185,-77,194008,1,43.6
8.136,-231.2,5.552,29.2,12.504,185.2,32.56935,63.72504,-82,194056,1,43.6
8.136,-230.8,5.552,29.6,12.504,184.0,32.58007,63.65637,-79,194056,1,43.6
8.136,-232.0,5.552,31.2,12.504,184.8,32.56935,63.57245,-78,194064,1,43.6
8.136,-233.2,5.552,30.0,12.504,184.0,32.58007,63.49615,-77,194056,1,43.6
8.136,-229.2,5.544,34.0,12.504,185.2,32.56935,63.45801,-77,194056,1,43.6
8.136,-232.8,5.552,29.6,12.504,184.0,32.55862,63.58008,-78,194056,1,43.6
8.136,-231.6,5.552,29.6,12.504,184.8,32.55862,63.5343,-79,194056,1,43.6
8.136,-232.0,5.552,29.2,12.504,184.0,32.56935,63.50378,-78,194056,1,43.6
8.136,-232.0,5.552,29.2,12.504,184.8,32.5908,63.50378,-81,194056,1,44.6
8.136,-230.4,5.544,35.2,12.504,184.4,32.5908,63.4809,-89,194056,1,43.6
8.136,-230.4,5.552,31.6,12.504,184.0,32.5908,63.67163,-79,194056,1,43.6
8.136,-230.0,5.552,33.2,12.504,184.8,32.58007,63.64111,-71,194056,1,43.6
8.136,-231.6,5.552,32.0,12.504,184.8,32.60152,63.42749,-75,194056,1,43.6
8.136,-231.2,5.552,30.4,12.504,185.2,32.60152,63.31305,-74,194008,1,43.6
8.136,-232.0,5.552,29.2,12.504,184.8,32.5908,63.32831,-64,194064,1,43.6
8.136,-232.0,5.552,30.0,12.504,184.8,32.5908,63.23676,-70,194016,1,44.6
8.144,-231.2,5.552,32.4,12.504,185.2,32.5908,63.25201,-74,194064,1,43.6
8.128,-220.8,5.528,48.8,12.504,185.6,32.60152,63.16809,-67,194064,1,44.6
8.128,-220.8,5.528,49.6,12.504,186.0,32.5908,63.09943,-73,194056,1,43.6
8.144,-233.6,5.56,29.6,12.504,184.8,32.60152,63.0918,-72,194056,1,44.6
8.128,-219.2,5.52,55.6,12.504,186.4,32.5908,63.05365,-71,192484,1,43.6
8.144,-232.0,5.552,29.6,12.504,185.2,32.5908,63.10706,-72,194056,1,44.6
8.144,-233.2,5.552,30.8,12.504,184.0,32.5908,63.07654,-75,194008,1,43.6
8.136,-227.6,5.544,36.0,12.504,184.8,32.60152,63.12994,-70,194056,1,43.6
8.144,-231.6,5.552,31.2,12.504,184.8,32.58007,63.13757,-71,194064,1,43.6
8.136,-229.2,5.552,36.0,12.504,184.8,32.5908,63.10706,-65,194064,1,43.6
8.144,-232.4,5.552,29.6,12.504,184.0,32.5908,63.06128,-68,194064,1,43.6
8.144,-232.4,5.552,31.6,12.504,184.8,32.5908,63.06128,-70,194056,1,43.6
8.144,-232.4,5.56,29.2,12.504,184.8,32.58007,63.06891,-68,194056,1,43.6
8.144,-230.8,5.552,33.2,12.504,184.4,32.5908,63.0918,-70,194008,1,43.6
8.144,-232.8,5.552,30.0,12.504,184.8,32.5908,63.09943,-71,194056,1,44.6
8.144,-233.2,5.552,30.0,12.504,184.0,32.5908,63.12231,-70,194056,1,43.6
8.144,-231.6,5.552,32.4,12.504,185.2,32.5908,63.1452,-71,194056,1,43.6
8.144,-232.8,5.56,30.0,12.504,184.4,32.5908,63.12994,-69,194056,1,44.6
8.144,-233.2,5.552,31.6,12.504,186.0,32.5908,63.11469,-70,194056,1,43.6
8.144,-232.8,5.552,29.6,12.504,185.2,32.60152,63.12231,-70,194056,1,43.6
8.144,-231.6,5.552,30.8,12.504,184.8,32.5908,63.13757,-70,194056,1,43.6
8.144,-233.2,5.552,29.6,12.504,184.8,32.5908,63.16046,-71,194056,1,43.6
8.144,-232.8,5.552,30.0,12.504,184.8,32.60152,63.12994,-70,194056,1,43.6
8.136,-220.0,5.528,50.4,12.504,186.8,32.61225,63.15283,-70,194056,1,44.6
8.144,-233.6,5.56,30.0,12.504,185.6,32.60152,63.12994,-70,194056,1,43.6
8.144,-230.4,5.544,34.8,12.504,186.0,32.62297,63.10706,-70,194056,1,43.6
8.136,-218.8,5.52,55.6,12.504,186.8,32.6337,63.0918,-70,192484,1,43.6
8.144,-232.0,5.552,31.2,12.504,185.2,32.6337,63.08417,-70,194064,1,43.6
8.152,-234.0,5.552,29.2,12.504,185.2,32.62297,63.0918,-69,194064,1,43.6
8.144,-232.8,5.552,32.8,12.504,185.2,32.6337,63.03076,-77,194016,1,43.6
8.152,-233.6,5.56,32.8,12.504,186.0,32.6337,62.98499,-73,194064,1,43.6
8.152,-233.2,5.552,29.6,12.504,185.6,32.6337,62.99261,-75,194056,1,43.6
8.152,-233.2,5.552,32.0,12.504,186.0,32.62297,63.0155,-78,194056,1,43.6
8.152,-232.4,5.552,29.6,12.504,185.2,32.62297,63.02313,-74,194056,1,43.6
8.152,-232.0,5.552,32.0,12.504,185.6,32.6337,63.02313,-74,194056,1,43.6
8.144,-226.4,5.544,40.8,12.504,185.6,32.61225,63.06891,-73,194056,1,44.6
8.152,-231.6,5.552,31.2,12.504,185.2,32.60152,63.08417,-72,194056,1,43.6
8.152,-232.8,5.552,29.2,12.504,185.2,32.61225,63.02313,-74,194056,1,43.6
8.152,-232.4,5.552,30.4,12.504,185.2,32.62297,63.0155,-72,194056,1,44.6
8.152,-232.0,5.552,32.0,12.504,185.6,32.61225,63.07654,-74,194056,1,44.6
8.152,-233.2,5.552,30.0,12.504,186.0,32.61225,63.06128,-74,194056,1,43.6
8.152,-233.2,5.552,31.6,12.504,185.6,32.61225,63.0918,-65,194056,1,43.6
8.152,-234.0,5.552,30.0,12.504,184.8,32.62297,63.04602,-69,194056,1,44.6
8.152,-232.8,5.552,31.6,12.504,185.6,32.61225,63.06891,-68,194056,1,43.6
8.152,-233.6,5.552,29.6,12.504,184.8,32.62297,63.10706,-75,194056,1,43.6
8.152,-230.8,5.552,34.0,12.504,185.2,32.6337,63.06128,-75,194044,1,44.6
8.152,-234.0,5.552,30.0,12.504,185.2,32.62297,63.03076,-75,194056,1,43.6
8.152,-233.2,5.552,30.4,12.504,185.6,32.6337,63.00787,-73,194056,1,43.6
8.144,-218.0,5.52,54.8,12.504,185.6,32.64442,63.0155,-74,192484,1,43.6
8.152,-233.2,5.552,29.6,12.504,185.2,32.6337,62.98499,-73,194056,1,44.6
8.152,-232.8,5.552,31.6,12.504,185.2,32.6337,63.02313,-71,194056,1,43.6
8.152,-233.6,5.552,29.6,12.504,185.6,32.6337,63.00024,-74,194056,1,43.6
8.152,-233.2,5.552,30.8,12.504,186.4,32.64442,62.98499,-73,194056,1,43.6
8.152,-232.8,5.552,31.6,12.504,185.6,32.64442,62.96973,-73,194056,1,43.6
8.152,-225.6,5.544,41.2,12.504,185.6,32.64442,62.92395,-72,194056,1,44.6
8.152,-230.0,5.552,34.0,12.504,186.4,32.65515,62.92395,-74,194056,1,43.6
8.16,-233.6,5.56,30.0,12.504,185.6,32.65515,62.90869,-72,194056,1,43.6
8.16,-232.4,5.552,30.4,12.504,185.6,32.65515,62.87817,-72,194056,1,43.6
8.16,-234.0,5.552,29.6,12.504,185.2,32.66587,62.87817,-73,194064,1,43.6
8.16,-232.4,5.552,30.8,12.504,186.0,32.65515,62.81714,-73,194064,1,43.6
8.16,-233.6,5.552,29.2,12.504,185.6,32.6766,62.84766,-72,194064,1,43.6
8.16,-233.6,5.552,30.4,12.504,186.0,32.6766,62.81714,-70,194056,1,44.6
8.16,-232.0,5.552,32.8,12.504,185.6,32.66587,62.81714,-72,194056,1,43.6
8.16,-233.2,5.552,30.0,12.512,185.6,32.66587,62.82477,-72,194056,1,43.6
8.16,-231.2,5.552,32.0,12.504,185.6,32.6766,62.81714,-72,194056,1,43.6
8.16,-233.2,5.552,29.6,12.504,185.2,32.6766,62.84003,-71,194056,1,43.6
8.16,-232.8,5.552,30.8,12.512,186.0,32.6766,62.80188,-71,194056,1,43.6
8.152,-223.2,5.536,45.6,12.504,186.0,32.68732,62.84003,-71,194056,1,44.6
8.16,-232.8,5.552,30.4,12.512,185.6,32.69805,62.77899,-72,194056,1,43.6
8.16,-231.2,5.552,30.8,12.512,185.2,32.69805,62.77136,-73,194056,1,43.6
8.144,-216.8,5.512,54.4,12.504,186.4,32.70877,62.7561,-71,192484,1,43.6
8.16,-231.6,5.552,30.0,12.512,185.6,32.70877,62.77136,-71,194056,1,43.6
8.16,-233.2,5.552,29.6,12.512,185.2,32.7195,62.77136,-72,194056,1,43.6
8.16,-232.8,5.552,29.6,12.512,185.2,32.70877,62.74847,-71,194056,1,43.6
8.16,-234.0,5.552,29.6,12.512,185.6,32.70877,62.71033,-72,194056,1,43.6
8.16,-233.2,5.552,29.2,12.512,185.6,32.7195,62.66455,-72,194056,1,43.6
8.16,-231.2,5.552,32.8,12.512,184.8,32.70877,62.65692,-73,194056,1,43.6
8.16,-233.6,5.552,29.6,12.512,186.0,32.70877,62.68744,-74,194056,1,43.6
8.16,-231.6,5.552,32.0,12.512,185.6,32.69805,62.71796,-74,194056,1,43.6
8.16,-233.2,5.552,29.6,12.512,185.6,32.70877,62.68744,-73,194056,1,43.6
8.16,-232.4,5.552,31.6,12.512,185.6,32.70877,62.67981,-72,194056,1,43.6
8.168,-233.2,5.552,29.6,12.512,185.2,32.7195,62.66455,-72,194056,1,43.6
8.168,-232.4,5.552,30.8,12.512,185.2,32.7195,62.6264,-71,194056,1,43.6
8.168,-232.0,5.552,29.2,12.512,185.2,32.7195,62.61877,-72,194064,1,43.6
8.168,-232.4,5.552,30.0,12.512,185.6,32.73022,62.66455,-70,194056,1,43.6
8.16,-232.0,5.552,31.6,12.512,185.2,32.73022,62.64929,-71,194056,1,43.6
8.168,-233.2,5.552,29.6,12.512,185.2,32.73022,62.64929,-71,194056,1,43.6
8.16,-230.4,5.552,31.6,12.512,184.8,32.74095,62.6264,-72,194056,1,43.6
8.168,-234.0,5.56,29.2,12.512,185.6,32.73022,62.65692,-71,194056,1,43.6
8.168,-231.2,5.552,29.6,12.512,184.8,32.75167,62.58826,-71,194056,1,44.6
8.168,-232.0,5.552,29.2,12.512,184.4,32.7624,62.60352,-72,194056,1,43.6
8.168,-231.6,5.552,29.6,12.512,184.8,32.75167,62.56537,-72,194008,1,43.6
8.168,-234.0,5.552,33.2,12.512,185.6,32.7624,62.56537,-72,192484,1,43.6
8.168,-229.6,5.552,32.4,12.512,184.0,32.77312,62.55774,-72,194056,1,43.6
8.168,-230.0,5.552,32.4,12.512,184.0,32.7624,62.51959,-71,194056,1,43.6
8.168,-232.4,5.552,29.6,12.512,185.6,32.75167,62.52722,-70,194056,1,43.6
8.168,-231.2,5.552,32.0,12.512,184.8,32.75167,62.48145,-69,194056,1,43.6
8.168,-231.6,5.552,31.2,12.512,184.4,32.7624,62.54248,-70,194056,1,43.6
8.168,-231.6,5.552,31.6,12.512,184.8,32.77312,62.52722,-73,194056,1,43.6
8.168,-232.0,5.552,29.6,12.512,184.8,32.7624,62.55011,-70,194056,1,43.6
8.168,-231.6,5.552,30.8,12.512,184.4,32.78385,62.51959,-72,194008,1,43.6
8.168,-232.8,5.56,29.2,12.512,185.2,32.7624,62.48907,-71,194056,1,43.6
8.168,-230.0,5.552,31.6,12.512,183.6,32.77312,62.45093,-72,194056,1,44.6
8.168,-229.2,5.552,31.6,12.512,184.0,32.79457,62.45093,-71,194056,1,43.6
8.168,-226.8,5.552,34.4,12.512,183.6,32.79457,62.47382,-71,194056,1,44.6
8.168,-229.6,5.552,30.8,12.512,183.6,32.79457,62.42804,-70,194056,1,44.6
8.16,-215.6,5.56,29.6,12.52,172.8,32.78385,62.43567,-69,194056,1,43.6
8.168,-229.6,5.552,29.6,12.512,183.2,32.79457,62.48907,-72,194056,1,43.6
8.16,-220.8,5.544,42.4,12.512,182.0,32.79457,62.48145,-71,194044,1,44.6
8.16,-220.4,5.552,32.4,12.52,178.0,32.78385,62.46619,-72,194056,1,44.6
8.16,-222.4,5.552,34.4,12.512,179.6,32.79457,62.4433,-72,194056,1,43.6
8.152,-214.0,5.52,55.2,12.512,184.0,32.78385,62.45856,-71,192484,1,44.6
8.16,-219.2,5.528,48.0,12.512,184.4,32.78385,62.45093,-70,194056,1,43.6
8.152,-206.8,5.552,29.6,12.528,166.8,32.79457,62.4433,-70,194056,1,43.6
8.168,-228.0,5.552,30.8,12.512,182.8,32.77312,62.45093,-70,194056,1,43.6
8.168,-230.0,5.56,29.6,12.512,183.2,32.78385,62.45093,-70,194056,1,43.6
8.144,-200.0,5.552,30.4,12.528,162.4,32.79457,62.45856,-72,194056,1,43.6
8.144,-202.4,5.552,32.8,12.528,164.8,32.78385,62.42804,-72,194056,1,43.6
8.16,-216.4,5.552,30.8,12.52,174.0,32.78385,62.47382,-72,194056,1,43.6
8.168,-229.2,5.552,31.6,12.512,183.6,32.77312,62.46619,-72,194056,1,43.6
8.168,-230.4,5.56,29.6,12.512,183.6,32.7624,62.48907,-72,194056,1,43.6
8.168,-229.2,5.552,30.4,12.512,183.2,32.7624,62.50433,-72,194056,1,43.6
8.152,-208.8,5.552,29.6,12.52,167.6,32.7624,62.48145,-71,194056,1,43.6
8.16,-222.4,5.552,30.4,12.52,178.0,32.77312,62.53485,-72,194056,1,43.6
8.16,-218.0,5.552,36.4,12.52,176.0,32.7624,62.55011,-72,194056,1,43.6
8.168,-228.4,5.552,28.8,12.512,182.4,32.77312,62.573,-72,194056,1,43.6
8.136,-188.4,5.544,37.2,12.536,155.6,32.78385,62.573,-72,194056,1,43.6
8.152,-206.4,5.552,30.0,12.528,167.2,32.78385,62.52722,-72,191576,1,45.6
8.144,-195.6,5.552,31.2,12.528,159.2,32.79457,62.50433,-70,194056,1,43.6
8.152,-208.8,5.552,28.8,12.52,168.8,32.78385,62.45093,-72,194056,1,43.6
8.144,-196.4,5.552,30.4,12.528,160.4,32.78385,62.50433,-72,194056,1,43.6
